"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","106.88","107.12","108.61","106.01","1.23M","0.13%"
"24-03-2022","106.74","106.58","107.54","105.53","1.06M","0.15%"
"23-03-2022","106.58","107.72","108.27","105.89","1.29M","-0.95%"
"22-03-2022","107.60","104.74","107.82","104.58","1.55M","2.79%"
"21-03-2022","104.68","104.97","106.17","104.16","1.48M","-0.77%"
"18-03-2022","105.49","106.15","106.86","103.26","2.90M","-1.02%"
"17-03-2022","106.58","106.01","106.90","104.32","1.46M","0.39%"
"16-03-2022","106.17","105.25","108.85","104.06","2.55M","3.59%"
"15-03-2022","102.49","101.99","103.30","100.58","2.30M","-1.38%"
"14-03-2022","103.92","104.36","106.92","103.70","2.02M","0.96%"
"11-03-2022","102.93","99.28","105.71","99.10","2.62M","3.78%"
"10-03-2022","99.18","102.57","102.91","96.90","2.78M","-3.25%"
"09-03-2022","102.51","97.02","102.83","95.68","3.71M","9.58%"
"08-03-2022","93.55","90.76","97.23","89.93","3.24M","0.14%"
"07-03-2022","93.42","90.94","97.82","89.69","4.38M","-3.20%"
"04-03-2022","96.51","102.37","102.91","96.24","3.94M","-7.54%"
"03-03-2022","104.38","108.39","109.31","103.62","2.42M","-4.25%"
"02-03-2022","109.01","103.36","110.44","101.56","3.42M","5.28%"
"01-03-2022","103.54","113.78","114.54","103.54","3.58M","-9.33%"
"28-02-2022","114.20","114.75","115.41","110.22","3.78M","-0.88%"
"25-02-2022","115.21","109.33","115.21","107.84","3.05M","6.43%"
"24-02-2022","108.25","107.58","110.30","105.07","3.81M","-4.41%"
"23-02-2022","113.24","113.86","116.58","112.35","2.00M","-0.12%"
"22-02-2022","113.38","108.81","114.48","108.14","2.16M","1.73%"
"21-02-2022","111.45","115.33","116.42","111.02","1.72M","-2.49%"
"18-02-2022","114.30","116.94","117.08","113.48","2.06M","-1.13%"
"17-02-2022","115.61","119.07","119.62","114.97","1.61M","-1.32%"
"16-02-2022","117.16","117.38","118.77","115.99","1.49M","-0.44%"
"15-02-2022","117.68","114.79","117.78","114.44","1.66M","1.81%"
"14-02-2022","115.59","114.30","116.30","111.81","1.89M","-1.86%"
"11-02-2022","117.78","115.89","118.23","115.25","1.32M","0.17%"
"10-02-2022","117.58","116.56","117.80","115.45","1.08M","0.69%"
"09-02-2022","116.78","115.03","117.06","115.03","1.42M","1.61%"
"08-02-2022","114.93","112.31","114.93","111.47","1.51M","2.39%"
"07-02-2022","112.25","111.20","112.29","109.37","1.17M","2.37%"
"04-02-2022","109.65","111.26","111.47","108.00","1.21M","-1.18%"
"03-02-2022","110.96","112.17","112.81","110.40","1.26M","-1.47%"
"02-02-2022","112.61","114.67","114.89","112.21","1.41M","-1.85%"
"01-02-2022","114.73","112.89","114.73","112.55","1.60M","2.96%"
"31-01-2022","111.43","112.07","113.04","110.26","1.64M","0.66%"
"28-01-2022","110.70","112.81","113.14","109.19","1.53M","-2.66%"
"27-01-2022","113.72","110.44","114.36","110.10","1.52M","0.18%"
"26-01-2022","113.52","110.32","113.64","110.24","1.87M","5.42%"
"25-01-2022","107.68","108.15","109.45","105.55","2.10M","0.94%"
