"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","755.00","749.00","756.40","745.00","7.86M","0.83%"
"24-03-2022","748.80","733.40","748.80","733.40","6.28M","1.88%"
"23-03-2022","735.00","738.80","750.00","733.00","7.07M","-0.24%"
"22-03-2022","736.80","738.00","738.80","728.40","12.26M","0.77%"
"21-03-2022","731.20","730.60","733.60","718.60","7.38M","1.16%"
"18-03-2022","722.80","724.00","727.20","715.80","20.62M","-0.08%"
"17-03-2022","723.40","705.00","724.00","683.60","8.84M","2.46%"
"16-03-2022","706.00","725.20","729.00","695.40","14.25M","-3.60%"
"15-03-2022","732.40","723.00","734.00","712.20","8.41M","1.22%"
"14-03-2022","723.60","739.40","749.60","718.20","9.22M","-1.28%"
"11-03-2022","733.00","732.80","748.00","724.40","9.49M","-0.16%"
"10-03-2022","734.20","727.00","734.40","713.60","8.16M","1.61%"
"09-03-2022","722.60","760.00","766.40","700.80","14.35M","-4.22%"
"08-03-2022","754.40","746.60","754.40","718.40","15.67M","1.84%"
"07-03-2022","740.80","684.60","752.00","684.60","18.56M","7.11%"
"04-03-2022","691.60","694.60","710.00","689.80","25.70M","-0.35%"
"03-03-2022","694.00","713.80","728.80","692.20","14.41M","-4.14%"
"02-03-2022","724.00","746.40","748.80","718.40","16.58M","-2.98%"
"01-03-2022","746.20","714.60","750.80","703.80","23.29M","3.70%"
"28-02-2022","719.60","714.00","756.00","707.80","33.02M","10.20%"
"25-02-2022","653.00","642.40","665.00","639.80","13.97M","3.36%"
"24-02-2022","631.80","594.80","639.92","592.20","20.54M","5.16%"
"23-02-2022","600.80","591.40","603.09","591.40","4.98M","1.32%"
"22-02-2022","593.00","587.20","596.80","584.60","12.37M","0.20%"
"21-02-2022","591.80","598.20","605.00","591.11","3.12M","-0.94%"
"18-02-2022","597.40","596.60","598.94","591.40","8.75M","0.50%"
"17-02-2022","594.40","596.40","598.40","591.76","4.94M","-0.64%"
"16-02-2022","598.20","596.60","602.60","593.60","10.36M","-0.66%"
"15-02-2022","602.20","598.80","602.80","592.20","4.46M","0.37%"
"14-02-2022","600.00","603.00","610.52","595.20","7.21M","-0.30%"
"11-02-2022","601.80","593.40","604.00","590.63","3.29M","0.80%"
"10-02-2022","597.00","591.80","598.00","590.68","3.45M","0.91%"
"09-02-2022","591.60","588.60","596.20","588.00","3.73M","1.02%"
"08-02-2022","585.60","582.60","588.20","578.00","3.89M","1.60%"
"07-02-2022","576.40","573.80","576.40","570.43","3.86M","0.66%"
"04-02-2022","572.60","574.80","575.60","565.80","5.07M","0.00%"
"03-02-2022","572.60","574.60","578.00","572.00","3.97M","0.07%"
"02-02-2022","572.20","580.40","581.70","568.60","5.97M","-1.41%"
"01-02-2022","580.40","577.40","585.00","577.40","6.08M","0.55%"
"31-01-2022","577.20","595.00","595.60","576.60","7.78M","-2.53%"
"28-01-2022","592.20","605.20","608.40","590.80","10.27M","-1.95%"
"27-01-2022","604.00","605.60","613.40","602.80","7.95M","-0.66%"
"26-01-2022","608.00","609.00","610.60","602.60","6.68M","0.83%"
"25-01-2022","603.00","601.40","609.80","598.00","9.36M","0.84%"
