"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","279.02","283.50","284.10","277.52","580.28K","-0.86%"
"24-03-2022","281.43","285.00","287.30","279.00","1.06M","-1.18%"
"23-03-2022","284.80","290.80","299.00","284.00","1.62M","-1.00%"
"22-03-2022","287.68","287.30","293.75","285.05","1.38M","0.56%"
"21-03-2022","286.07","300.48","303.30","283.02","2.87M","-4.56%"
"17-03-2022","299.75","281.10","306.00","280.02","6.23M","8.00%"
"16-03-2022","277.55","263.00","286.38","259.00","8.00M","6.24%"
"15-03-2022","261.25","252.95","266.95","248.25","2.45M","4.10%"
"14-03-2022","250.95","249.95","257.50","249.57","1.90M","1.90%"
"11-03-2022","246.28","239.00","247.50","236.72","1.40M","3.61%"
"10-03-2022","237.70","237.50","240.47","232.18","836.26K","3.12%"
"09-03-2022","230.50","229.40","236.25","227.65","1.56M","2.38%"
"08-03-2022","225.15","224.25","233.47","224.00","1.06M","1.35%"
"07-03-2022","222.15","224.90","228.03","219.32","1.47M","-2.72%"
"04-03-2022","228.35","229.97","235.00","227.50","522.12K","-1.18%"
"03-03-2022","231.07","234.30","237.50","230.50","495.28K","-0.34%"
"02-03-2022","231.85","229.47","239.50","227.30","2.41M","3.47%"
"28-02-2022","224.07","210.50","226.85","205.10","1.36M","3.77%"
"25-02-2022","215.93","210.20","218.40","210.03","715.48K","5.09%"
"24-02-2022","205.47","211.10","215.53","203.25","787.27K","-5.94%"
"23-02-2022","218.45","221.75","223.43","217.50","458.87K","-1.69%"
"22-02-2022","222.20","217.50","228.85","217.50","652.49K","-3.33%"
"21-02-2022","229.85","234.00","236.00","227.55","661.63K","-2.75%"
"18-02-2022","236.35","237.65","242.00","235.25","711.91K","-0.55%"
"17-02-2022","237.65","232.70","240.05","230.05","1.19M","3.03%"
"16-02-2022","230.65","235.15","239.03","228.50","737.87K","-1.09%"
"15-02-2022","233.20","233.90","237.95","228.05","1.46M","0.56%"
"14-02-2022","231.90","221.00","239.50","218.00","4.59M","2.58%"
"11-02-2022","226.07","230.00","231.35","225.05","315.72K","-2.57%"
"10-02-2022","232.03","238.10","238.10","230.50","478.95K","-2.06%"
"09-02-2022","236.90","237.20","240.97","235.75","579.32K","0.25%"
"08-02-2022","236.30","246.35","247.50","233.07","451.04K","-3.60%"
"07-02-2022","245.12","248.00","250.97","238.75","815.26K","-0.77%"
"04-02-2022","247.03","252.55","252.65","244.68","1.36M","-1.84%"
"03-02-2022","251.65","258.45","268.15","249.00","6.93M","3.26%"
"02-02-2022","243.70","247.45","249.97","242.53","562.61K","-0.86%"
"01-02-2022","245.82","251.95","255.85","244.43","1.65M","-1.26%"
"31-01-2022","248.95","248.12","255.88","246.60","1.61M","2.31%"
"28-01-2022","243.32","247.50","249.00","238.12","1.44M","-0.39%"
"27-01-2022","244.28","229.40","249.50","227.57","3.48M","4.99%"
"25-01-2022","232.68","220.00","239.28","218.50","2.04M","4.16%"
