"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","391.70","385.65","394.10","381.30","37.30M","0.64%"
"24-03-2022","389.20","389.55","394.10","386.25","31.44M","0.34%"
"23-03-2022","387.90","377.40","390.90","375.45","55.13M","4.47%"
"22-03-2022","371.30","380.00","381.62","368.55","43.59M","-0.99%"
"21-03-2022","375.00","363.50","376.00","363.50","35.53M","4.05%"
"18-03-2022","360.40","364.65","368.95","359.00","245.33M","-2.08%"
"17-03-2022","368.05","364.30","371.05","361.58","79.20M","2.05%"
"16-03-2022","360.65","365.05","366.90","356.95","49.29M","-0.10%"
"15-03-2022","361.00","349.05","361.00","344.67","118.18M","1.26%"
"14-03-2022","356.50","364.35","364.65","349.40","47.90M","-1.08%"
"11-03-2022","360.40","367.75","371.55","358.30","81.09M","-0.85%"
"10-03-2022","363.50","369.00","373.10","361.96","173.67M","-2.17%"
"09-03-2022","371.55","383.45","384.60","365.05","61.64M","-2.22%"
"08-03-2022","380.00","361.60","383.08","359.20","77.07M","5.12%"
"07-03-2022","361.50","353.00","363.90","350.95","142.77M","3.83%"
"04-03-2022","348.15","355.00","356.40","341.60","71.43M","-2.87%"
"03-03-2022","358.45","377.70","385.60","358.45","73.48M","-4.26%"
"02-03-2022","374.40","362.80","379.05","360.86","65.72M","4.84%"
"01-03-2022","357.10","368.05","369.60","354.40","74.19M","-1.77%"
"28-02-2022","363.55","352.20","365.55","349.85","186.80M","-3.95%"
"25-02-2022","378.50","368.41","379.40","364.51","73.18M","3.60%"
"24-02-2022","365.35","372.60","378.15","360.90","115.60M","-4.58%"
"23-02-2022","382.90","383.85","389.30","380.25","37.45M","-0.93%"
"22-02-2022","386.50","389.10","396.30","382.55","53.63M","-0.49%"
"21-02-2022","388.40","389.00","393.50","383.59","43.86M","-0.77%"
"18-02-2022","391.40","396.40","400.29","390.80","44.29M","-1.63%"
"17-02-2022","397.90","400.65","402.20","392.45","59.07M","-1.45%"
"16-02-2022","403.75","398.05","405.75","395.74","118.89M","1.61%"
"15-02-2022","397.35","400.35","405.70","389.25","77.95M","-0.82%"
"14-02-2022","400.65","414.05","417.15","398.19","67.57M","-3.97%"
"11-02-2022","417.20","406.75","419.15","405.48","72.96M","1.58%"
"10-02-2022","410.70","406.40","414.40","405.55","45.52M","0.10%"
"09-02-2022","410.30","401.85","414.95","395.40","61.15M","2.83%"
"08-02-2022","399.00","410.00","418.00","398.35","86.48M","-2.36%"
"07-02-2022","408.65","406.05","409.45","398.00","49.47M","0.68%"
"04-02-2022","405.90","397.15","409.25","397.05","65.16M","3.44%"
"03-02-2022","392.40","393.20","394.60","389.00","42.08M","0.73%"
"02-02-2022","389.55","395.00","395.35","389.00","36.54M","-0.95%"
"01-02-2022","393.30","383.15","394.00","383.05","61.47M","2.74%"
"31-01-2022","382.80","388.65","389.27","382.15","45.62M","-0.69%"
"28-01-2022","385.45","397.90","397.90","383.35","118.11M","-1.80%"
"27-01-2022","392.50","388.30","400.56","385.30","99.68M","-0.41%"
"26-01-2022","394.10","385.00","397.20","384.80","47.12M","3.81%"
"25-01-2022","379.65","367.51","379.95","366.35","50.19M","4.27%"
