"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","54.24","52.83","54.24","52.01","12.57K","0.62%"
"24-03-2022","53.90","54.64","55.00","53.22","19.38K","-0.43%"
"23-03-2022","54.13","51.95","54.75","51.95","23.25K","4.91%"
"22-03-2022","51.60","52.94","52.94","51.35","25.84K","-0.98%"
"21-03-2022","52.11","50.93","52.11","50.48","16.61K","6.62%"
"18-03-2022","48.88","49.15","49.16","48.26","48.01K","0.88%"
"17-03-2022","48.45","46.24","48.50","46.23","62.13K","5.69%"
"16-03-2022","45.84","47.09","47.09","45.19","84.05K","-1.16%"
"15-03-2022","46.38","45.81","46.38","44.47","79.03K","-2.97%"
"14-03-2022","47.80","49.16","49.72","47.27","68.94K","-5.23%"
"11-03-2022","50.44","50.44","51.13","48.94","69.28K","-0.86%"
"10-03-2022","50.88","51.45","52.70","49.25","183.80K","-5.91%"
"09-03-2022","54.07","57.99","58.47","53.92","200.32K","-8.54%"
"08-03-2022","59.12","56.22","59.52","55.85","121.51K","6.68%"
"07-03-2022","55.42","57.04","57.26","53.50","257.19K","8.28%"
"04-03-2022","51.18","49.66","51.84","49.22","32.91K","0.48%"
"03-03-2022","50.94","53.11","53.30","49.17","152.56K","3.99%"
"02-03-2022","48.98","50.13","51.13","48.11","172.94K","2.32%"
"01-03-2022","47.87","44.73","47.87","44.73","67.35K","9.29%"
"28-02-2022","43.80","43.97","44.45","43.62","41.83K","4.39%"
"25-02-2022","41.96","43.86","44.01","41.94","79.28K","-6.13%"
"24-02-2022","44.70","44.50","45.86","44.39","107.31K","5.50%"
"23-02-2022","42.37","42.16","42.76","41.69","18.95K","0.56%"
"22-02-2022","42.13","42.64","43.27","41.84","87.54K","1.26%"
"21-02-2022","41.61","40.77","41.73","40.74","71.40K","1.81%"
"18-02-2022","40.87","40.45","41.12","39.85","42.27K","0.37%"
"17-02-2022","40.72","41.16","41.32","40.43","88.16K","-2.84%"
"16-02-2022","41.91","41.11","41.92","41.11","43.96K","2.82%"
"15-02-2022","40.76","41.93","41.93","40.47","44.80K","-2.16%"
"14-02-2022","41.66","41.51","42.08","41.19","68.06K","1.37%"
"11-02-2022","41.10","40.24","41.12","40.24","23.16K","0.18%"
"10-02-2022","41.02","40.53","41.07","40.20","25.00K","0.84%"
"09-02-2022","40.68","39.94","40.68","39.92","16.29K","2.11%"
"08-02-2022","39.84","40.63","40.77","39.84","78.15K","-3.15%"
"07-02-2022","41.13","41.13","41.14","40.75","17.28K","-0.23%"
"04-02-2022","41.23","40.41","41.25","40.41","35.94K","3.85%"
"03-02-2022","39.70","39.49","39.70","39.02","226.47K","1.33%"
"02-02-2022","39.18","39.42","40.00","39.09","35.08K","-0.96%"
"01-02-2022","39.56","39.47","39.71","38.88","12.13K","0.58%"
"31-01-2022","39.33","39.47","39.54","39.09","12.78K","-0.35%"
"28-01-2022","39.47","39.37","39.85","39.04","42.75K","0.37%"
"27-01-2022","39.33","39.20","39.73","39.19","30.97K","-0.52%"
"26-01-2022","39.53","38.86","39.53","38.85","23.61K","2.64%"
"25-01-2022","38.51","38.23","38.47","37.94","19.94K","1.95%"
