"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","14,305.76","14,332.26","14,428.03","14,247.38","73.04M","0.22%"
"24-03-2022","14,273.79","14,305.80","14,375.82","14,187.82","77.32M","-0.07%"
"23-03-2022","14,283.65","14,532.84","14,539.31","14,226.43","76.38M","-1.31%"
"22-03-2022","14,473.20","14,365.67","14,508.01","14,343.34","79.55M","1.02%"
"21-03-2022","14,326.97","14,385.82","14,457.30","14,306.26","69.81M","-0.60%"
"18-03-2022","14,413.09","14,374.41","14,413.09","14,109.79","181.20M","0.17%"
"17-03-2022","14,388.06","14,500.05","14,509.23","14,243.94","96.87M","-0.36%"
"16-03-2022","14,440.74","14,245.77","14,553.10","14,183.26","138.61M","3.76%"
"15-03-2022","13,917.27","13,768.44","13,974.84","13,577.81","101.28M","-0.09%"
"14-03-2022","13,929.11","13,827.22","14,082.06","13,815.80","118.95M","2.21%"
"11-03-2022","13,628.11","13,479.69","13,943.97","13,407.97","130.84M","1.38%"
"10-03-2022","13,442.10","13,819.44","13,829.97","13,341.79","148.86M","-2.93%"
"09-03-2022","13,847.93","13,215.06","13,847.93","13,199.68","177.83M","7.92%"
"08-03-2022","12,831.51","12,673.89","13,106.78","12,672.00","172.92M","-0.02%"
"07-03-2022","12,834.65","12,614.08","13,150.35","12,438.85","192.41M","-1.98%"
"04-03-2022","13,094.54","13,485.98","13,562.60","13,094.54","178.57M","-4.41%"
"03-03-2022","13,698.40","13,990.25","14,057.15","13,669.10","118.91M","-2.16%"
"02-03-2022","14,000.11","13,836.93","14,114.79","13,707.86","158.82M","0.69%"
"01-03-2022","13,904.85","14,404.22","14,448.61","13,904.85","145.25M","-3.85%"
"28-02-2022","14,461.02","14,263.73","14,510.77","14,106.89","160.85M","-0.73%"
"25-02-2022","14,567.23","14,230.09","14,567.62","14,027.93","160.38M","3.67%"
"24-02-2022","14,052.10","13,989.41","14,221.71","13,807.28","219.86M","-3.96%"
"23-02-2022","14,631.36","14,754.22","14,901.09","14,586.35","89.09M","-0.42%"
"22-02-2022","14,693.00","14,365.06","14,782.16","14,357.86","115.32M","-0.26%"
"21-02-2022","14,731.12","15,186.63","15,192.47","14,617.66","78.15M","-2.07%"
"18-02-2022","15,042.51","15,278.66","15,317.39","14,989.05","87.53M","-1.47%"
"17-02-2022","15,267.63","15,404.14","15,440.08","15,206.40","78.68M","-0.67%"
"16-02-2022","15,370.30","15,431.27","15,542.84","15,327.94","67.04M","-0.28%"
"15-02-2022","15,412.71","15,077.32","15,418.41","15,068.33","83.22M","1.98%"
"14-02-2022","15,113.97","15,065.73","15,150.54","14,844.10","119.71M","-2.02%"
"11-02-2022","15,425.12","15,353.86","15,511.34","15,308.69","100.06M","-0.42%"
"10-02-2022","15,490.44","15,597.06","15,614.47","15,413.37","94.70M","0.05%"
"09-02-2022","15,482.01","15,356.95","15,513.94","15,351.48","85.34M","1.57%"
"08-02-2022","15,242.38","15,221.70","15,338.00","15,158.80","80.96M","0.24%"
"07-02-2022","15,206.64","15,220.08","15,256.08","15,076.89","71.12M","0.71%"
"04-02-2022","15,099.56","15,410.73","15,423.94","15,060.48","93.80M","-1.75%"
"03-02-2022","15,368.47","15,565.94","15,602.50","15,367.16","104.95M","-1.57%"
"02-02-2022","15,613.77","15,689.16","15,736.52","15,604.99","66.32M","-0.04%"
"01-02-2022","15,619.39","15,620.56","15,687.96","15,537.05","74.93M","0.96%"
"31-01-2022","15,471.20","15,506.79","15,566.38","15,338.19","88.31M","0.99%"
"28-01-2022","15,318.95","15,411.86","15,416.59","15,122.65","91.38M","-1.32%"
"27-01-2022","15,524.27","15,229.98","15,582.45","15,197.53","105.99M","0.42%"
"26-01-2022","15,459.39","15,273.06","15,524.96","15,272.87","82.97M","2.22%"
"25-01-2022","15,123.87","15,139.07","15,205.75","14,979.11","86.07M","0.75%"
