"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","13.470","13.308","13.532","13.098","33.32K","1.14%"
"24-03-2022","13.318","13.296","13.486","13.212","23.59K","0.79%"
"23-03-2022","13.214","13.010","13.390","13.010","44.68K","0.85%"
"22-03-2022","13.102","13.234","13.428","13.100","22.14K","0.05%"
"21-03-2022","13.096","12.690","13.224","12.690","40.57K","2.94%"
"18-03-2022","12.722","13.152","13.152","12.540","76.78K","-2.97%"
"17-03-2022","13.112","12.750","13.172","12.748","35.62K","2.73%"
"16-03-2022","12.764","13.036","13.036","12.694","48.42K","-1.19%"
"15-03-2022","12.918","12.830","12.918","12.558","30.23K","-0.42%"
"14-03-2022","12.972","13.016","13.088","12.868","35.86K","-0.54%"
"11-03-2022","13.042","13.172","13.442","13.042","32.06K","-1.72%"
"10-03-2022","13.270","13.502","13.558","13.052","42.91K","-2.40%"
"09-03-2022","13.596","13.786","13.832","13.320","30.64K","-0.04%"
"08-03-2022","13.602","13.422","13.756","13.352","32.74K","1.96%"
"07-03-2022","13.340","12.798","13.656","12.392","78.86K","3.73%"
"04-03-2022","12.860","13.578","13.578","12.822","69.67K","-7.22%"
"03-03-2022","13.860","14.648","14.802","13.810","69.34K","-4.65%"
"02-03-2022","14.536","14.426","14.560","14.290","46.53K","0.60%"
"01-03-2022","14.450","13.964","14.450","13.904","88.45K","4.45%"
"28-02-2022","13.834","13.638","13.884","13.398","22.90K","0.46%"
"25-02-2022","13.770","13.492","13.804","13.400","97.85K","3.07%"
"24-02-2022","13.360","13.244","13.704","13.084","81.55K","-0.46%"
"23-02-2022","13.422","13.524","13.618","13.360","16.15K","-0.47%"
"22-02-2022","13.486","13.192","13.532","13.122","39.39K","1.34%"
"21-02-2022","13.308","13.378","13.508","13.130","44.88K","-1.10%"
"18-02-2022","13.456","13.518","13.570","13.390","29.10K","0.96%"
"17-02-2022","13.328","13.176","13.336","13.146","39.69K","0.17%"
"16-02-2022","13.306","13.186","13.344","13.132","13.84K","0.96%"
"15-02-2022","13.180","13.314","13.406","13.120","34.08K","-1.10%"
"14-02-2022","13.326","13.544","13.550","13.222","59.14K","-1.45%"
"11-02-2022","13.522","13.186","13.532","13.162","20.66K","1.72%"
"10-02-2022","13.294","13.220","13.350","13.186","27.04K","0.23%"
"09-02-2022","13.264","13.076","13.306","12.998","23.99K","1.76%"
"08-02-2022","13.034","13.174","13.306","12.964","41.34K","-1.11%"
"07-02-2022","13.180","13.376","13.376","13.098","30.96K","-2.23%"
"04-02-2022","13.480","13.434","13.558","13.380","34.27K","1.38%"
"03-02-2022","13.296","13.400","13.400","13.226","7.47K","-0.49%"
"02-02-2022","13.362","13.488","13.488","13.348","33.90K","-0.76%"
"01-02-2022","13.464","13.318","13.464","13.204","5.50K","1.05%"
"31-01-2022","13.324","13.542","13.542","13.266","16.83K","-1.86%"
"28-01-2022","13.576","13.736","13.746","13.482","24.12K","-1.77%"
"27-01-2022","13.820","13.318","13.834","13.318","159.73K","2.45%"
"26-01-2022","13.490","13.302","13.490","13.254","18.52K","3.09%"
"25-01-2022","13.086","12.760","13.136","12.700","18.96K","3.20%"
