"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","325.00","318.00","325.00","315.30","3.27M","1.59%"
"24-03-2022","319.90","322.35","323.90","318.45","4.01M","-0.45%"
"23-03-2022","321.35","319.90","322.40","317.30","4.16M","1.87%"
"22-03-2022","315.45","319.10","323.45","315.20","4.66M","-0.32%"
"21-03-2022","316.45","305.55","317.30","304.25","4.84M","5.20%"
"18-03-2022","300.80","299.00","303.10","296.60","7.56M","0.97%"
"17-03-2022","297.90","289.90","299.80","288.85","5.44M","3.62%"
"16-03-2022","287.50","292.90","294.15","283.80","6.01M","1.00%"
"15-03-2022","284.65","282.65","287.00","280.15","4.85M","-0.96%"
"14-03-2022","287.40","286.40","288.60","280.55","4.67M","0.26%"
"11-03-2022","286.65","296.50","297.30","282.50","6.56M","-1.95%"
"10-03-2022","292.35","293.25","300.50","289.25","7.42M","-1.32%"
"09-03-2022","296.25","308.30","309.40","292.60","8.75M","-5.65%"
"08-03-2022","314.00","310.00","318.20","301.85","7.95M","2.77%"
"07-03-2022","305.55","311.00","322.35","299.70","8.24M","2.36%"
"04-03-2022","298.50","289.00","300.80","286.80","5.82M","1.62%"
"03-03-2022","293.75","309.00","311.75","286.45","8.17M","-3.05%"
"02-03-2022","303.00","305.60","315.65","302.45","8.03M","1.15%"
"01-03-2022","299.55","280.90","301.90","280.15","7.56M","7.58%"
"28-02-2022","278.45","279.60","285.00","276.50","8.88M","1.72%"
"25-02-2022","273.75","283.75","284.95","269.30","7.84M","-5.44%"
"24-02-2022","289.50","291.00","294.60","283.35","8.76M","4.19%"
"23-02-2022","277.85","271.90","277.85","267.10","4.57M","2.28%"
"22-02-2022","271.65","279.90","288.95","270.45","4.82M","-1.58%"
"21-02-2022","276.00","269.10","277.25","265.25","4.16M","2.87%"
"18-02-2022","268.30","265.85","271.05","264.00","3.91M","0.39%"
"17-02-2022","267.25","267.45","275.10","266.65","5.13M","0.53%"
"16-02-2022","265.85","259.90","267.40","254.60","4.94M","3.83%"
"15-02-2022","256.05","273.85","275.45","254.80","8.31M","-6.47%"
"14-02-2022","273.75","283.55","285.40","273.75","6.02M","-0.47%"
"11-02-2022","275.05","265.20","277.45","265.00","4.67M","2.55%"
"10-02-2022","268.20","262.00","270.45","260.50","5.27M","3.07%"
"09-02-2022","260.20","262.40","271.25","254.15","6.22M","1.36%"
"08-02-2022","256.70","262.30","263.10","253.95","4.18M","-2.12%"
"07-02-2022","262.25","258.90","262.70","256.20","3.39M","0.87%"
"04-02-2022","260.00","252.00","260.00","249.90","4.34M","4.08%"
"03-02-2022","249.80","249.00","249.80","245.60","4.02M","0.85%"
"02-02-2022","247.70","248.65","250.70","246.70","3.23M","0.49%"
"01-02-2022","246.50","244.05","246.50","239.50","4.60M","0.26%"
"31-01-2022","245.85","250.00","250.00","244.30","3.81M","-1.07%"
"28-01-2022","248.50","252.50","253.60","244.45","6.80M","-1.82%"
"27-01-2022","253.10","253.45","259.90","253.10","5.21M","-2.01%"
"26-01-2022","258.30","254.20","259.45","251.55","6.43M","3.40%"
"25-01-2022","249.80","249.00","251.55","247.10","4.51M","1.13%"
