"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","41.00","41.11","41.20","40.61","2.45M","0.10%"
"24-03-2022","40.96","40.62","40.99","40.46","2.98M","0.89%"
"23-03-2022","40.60","40.66","40.87","40.50","4.21M","-2.31%"
"22-03-2022","41.56","41.38","41.62","41.29","3.51M","1.46%"
"21-03-2022","40.96","41.24","41.32","40.64","3.86M","-1.61%"
"18-03-2022","41.63","40.71","41.70","40.59","3.68M","0.34%"
"17-03-2022","41.49","40.93","41.70","40.82","5.87M","0.12%"
"16-03-2022","41.44","40.62","41.63","40.34","9.71M","4.78%"
"15-03-2022","39.55","39.36","39.63","39.03","8.72M","0.97%"
"14-03-2022","39.17","39.39","39.73","39.03","5.44M","2.14%"
"11-03-2022","38.35","39.47","39.54","38.29","4.60M","-0.85%"
"10-03-2022","38.68","38.61","39.19","38.47","6.63M","-2.98%"
"09-03-2022","39.87","39.42","40.54","39.04","10.21M","7.00%"
"08-03-2022","37.26","37.12","38.36","36.40","13.59M","2.93%"
"07-03-2022","36.20","37.67","37.78","35.82","8.91M","-3.72%"
"04-03-2022","37.60","37.96","38.03","37.05","7.84M","-5.22%"
"03-03-2022","39.67","40.77","40.77","39.44","5.80M","-2.84%"
"02-03-2022","40.83","40.50","41.05","40.33","5.48M","2.02%"
"01-03-2022","40.02","41.22","41.29","39.58","5.32M","-4.12%"
"28-02-2022","41.74","41.56","42.48","41.38","5.57M","-3.36%"
"25-02-2022","43.19","42.44","43.26","42.38","4.09M","2.69%"
"24-02-2022","42.06","40.62","42.21","40.54","11.04M","-1.84%"
"23-02-2022","42.85","43.91","43.93","42.71","3.25M","-0.97%"
"22-02-2022","43.27","43.39","43.78","42.81","5.12M","-2.41%"
"18-02-2022","44.34","44.51","44.68","44.08","3.62M","-0.45%"
"17-02-2022","44.54","44.96","44.99","44.51","2.91M","-1.92%"
"16-02-2022","45.41","45.02","45.54","44.96","1.56M","0.40%"
"15-02-2022","45.23","44.92","45.29","44.88","2.81M","2.77%"
"14-02-2022","44.01","44.16","44.27","43.60","4.09M","-1.08%"
"11-02-2022","44.49","45.58","45.76","44.29","6.81M","-2.71%"
"10-02-2022","45.73","45.62","46.47","45.59","3.78M","-1.12%"
"09-02-2022","46.25","46.18","46.33","46.08","3.12M","1.72%"
"08-02-2022","45.47","45.09","45.53","44.96","1.96M","0.55%"
"07-02-2022","45.22","45.13","45.46","45.08","1.76M","0.07%"
"04-02-2022","45.19","44.94","45.41","44.78","3.95M","-0.15%"
"03-02-2022","45.26","45.52","45.67","45.18","3.29M","-1.61%"
"02-02-2022","46.00","46.12","46.15","45.75","1.23M","0.31%"
"01-02-2022","45.86","45.80","45.89","45.43","1.68M","1.17%"
"31-01-2022","45.33","44.52","45.42","44.50","2.34M","1.43%"
"28-01-2022","44.69","44.16","44.69","43.83","2.94M","0.43%"
"27-01-2022","44.50","44.90","45.08","44.35","2.25M","-0.36%"
"26-01-2022","44.66","45.29","45.54","44.33","3.39M","0.45%"
"25-01-2022","44.46","44.19","44.82","43.76","3.28M","-1.11%"
