"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","53.13","53.13","53.23","52.72","732.67K","0.13%"
"24-03-2022","53.06","52.83","53.09","52.65","929.32K","0.57%"
"23-03-2022","52.76","52.86","53.08","52.69","1.17M","-1.75%"
"22-03-2022","53.70","53.52","53.80","53.46","1.27M","1.26%"
"21-03-2022","53.03","53.30","53.42","52.80","1.30M","-1.01%"
"18-03-2022","53.57","52.41","53.61","52.34","1.17M","0.90%"
"17-03-2022","53.09","52.45","53.30","52.38","1.49M","0.63%"
"16-03-2022","52.76","51.86","52.77","51.49","1.54M","3.92%"
"15-03-2022","50.77","50.64","50.86","50.23","2.45M","0.65%"
"14-03-2022","50.44","50.65","51.09","50.31","1.88M","1.88%"
"11-03-2022","49.51","50.57","50.70","49.51","3.53M","-0.92%"
"10-03-2022","49.97","49.83","50.37","49.66","4.22M","-1.88%"
"09-03-2022","50.93","50.17","51.39","49.91","4.85M","5.21%"
"08-03-2022","48.41","48.26","49.45","47.51","4.16M","2.37%"
"07-03-2022","47.29","48.76","48.90","46.95","8.72M","-3.35%"
"04-03-2022","48.93","49.12","49.25","48.36","2.62M","-4.23%"
"03-03-2022","51.09","52.15","52.15","50.90","1.37M","-2.63%"
"02-03-2022","52.47","52.15","52.67","51.96","3.59M","1.35%"
"01-03-2022","51.77","52.87","53.02","51.36","2.35M","-2.69%"
"28-02-2022","53.20","53.10","53.95","52.86","3.37M","-2.26%"
"25-02-2022","54.43","53.49","54.44","53.49","2.68M","2.93%"
"24-02-2022","52.88","51.52","53.02","51.38","2.55M","-1.87%"
"23-02-2022","53.89","55.01","55.03","53.81","1.50M","-0.81%"
"22-02-2022","54.33","54.48","54.82","53.91","1.50M","-1.54%"
"18-02-2022","55.18","55.49","55.64","55.02","1.14M","-0.65%"
"17-02-2022","55.54","56.00","56.06","55.46","813.96K","-1.73%"
"16-02-2022","56.52","56.07","56.62","56.01","891.63K","0.43%"
"15-02-2022","56.28","55.94","56.31","55.83","1.21M","2.22%"
"14-02-2022","55.06","55.19","55.27","54.63","1.26M","-1.02%"
"11-02-2022","55.63","56.61","56.82","55.43","3.04M","-1.87%"
"10-02-2022","56.69","56.56","57.46","56.55","3.63M","-1.19%"
"09-02-2022","57.37","57.25","57.38","57.17","872.59K","1.68%"
"08-02-2022","56.42","56.08","56.48","55.91","1.25M","0.28%"
"07-02-2022","56.26","56.15","56.50","56.10","1.37M","0.14%"
"04-02-2022","56.18","56.03","56.47","55.81","1.51M","-0.32%"
"03-02-2022","56.36","56.65","56.80","56.28","1.39M","-1.40%"
"02-02-2022","57.16","57.20","57.24","56.87","2.02M","0.60%"
"01-02-2022","56.82","56.64","56.82","56.23","1.93M","1.21%"
"31-01-2022","56.14","55.28","56.16","55.28","1.34M","1.54%"
"28-01-2022","55.29","54.79","55.32","54.46","3.18M","0.33%"
"27-01-2022","55.11","55.48","55.72","54.90","2.43M","-0.14%"
"26-01-2022","55.19","56.03","56.06","54.83","3.22M","0.20%"
"25-01-2022","55.08","54.73","55.43","54.30","4.85M","-0.63%"
