"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","112.95","112.84","113.67","112.47","649.82K","0.35%"
"24-03-2022","112.56","112.06","112.64","111.46","636.98K","0.96%"
"23-03-2022","111.49","111.94","112.35","111.33","777.22K","-0.39%"
"22-03-2022","111.93","111.19","112.38","110.32","1.77M","1.20%"
"21-03-2022","110.60","108.83","111.03","108.83","624.94K","1.28%"
"18-03-2022","109.20","108.91","109.34","107.98","434.83K","0.59%"
"17-03-2022","108.56","106.94","108.56","106.85","581.61K","1.56%"
"16-03-2022","106.89","107.55","108.06","104.75","575.50K","-0.23%"
"15-03-2022","107.14","106.05","107.38","105.53","490.23K","1.70%"
"14-03-2022","105.35","106.81","106.81","104.21","1.32M","-0.46%"
"11-03-2022","105.84","108.49","109.11","105.73","901.70K","-1.47%"
"10-03-2022","107.42","106.80","108.56","106.64","760.46K","-0.09%"
"09-03-2022","107.52","106.23","108.16","105.67","663.56K","2.35%"
"08-03-2022","105.05","107.46","108.18","104.93","1.20M","-1.92%"
"07-03-2022","107.11","109.84","111.22","107.06","1.41M","-2.03%"
"04-03-2022","109.33","109.71","109.71","108.00","789.51K","-0.47%"
"03-03-2022","109.85","112.03","112.03","109.14","1.28M","-1.52%"
"02-03-2022","111.54","110.86","111.97","109.53","844.77K","0.75%"
"01-03-2022","110.71","111.98","112.06","109.81","1.31M","-1.06%"
"28-02-2022","111.90","108.52","111.98","107.97","3.48M","3.97%"
"25-02-2022","107.63","105.52","107.99","105.00","730.09K","3.01%"
"24-02-2022","104.49","101.38","104.76","99.35","914.92K","2.75%"
"23-02-2022","101.69","104.00","104.34","101.52","248.45K","-1.14%"
"22-02-2022","102.86","104.35","104.51","102.36","313.59K","-1.38%"
"18-02-2022","104.30","105.49","106.33","104.16","297.23K","-1.22%"
"17-02-2022","105.59","106.43","106.51","105.31","238.08K","-1.29%"
"16-02-2022","106.97","105.90","107.30","105.52","280.17K","1.01%"
"15-02-2022","105.90","104.69","106.50","104.69","216.42K","1.74%"
"14-02-2022","104.09","105.50","105.73","103.50","296.84K","-1.04%"
"11-02-2022","105.18","105.51","106.68","104.38","404.59K","-0.35%"
"10-02-2022","105.55","105.00","107.64","105.00","191.65K","-0.72%"
"09-02-2022","106.32","105.57","106.50","105.57","188.17K","1.21%"
"08-02-2022","105.05","103.79","105.22","103.31","192.33K","1.24%"
"07-02-2022","103.76","102.71","104.57","102.52","293.39K","1.31%"
"04-02-2022","102.42","102.04","103.28","101.07","209.97K","0.12%"
"03-02-2022","102.30","102.26","103.00","101.94","195.42K","-0.64%"
"02-02-2022","102.96","102.32","103.15","101.30","246.69K","0.61%"
"01-02-2022","102.33","101.15","102.55","100.45","487.97K","1.19%"
"31-01-2022","101.13","99.03","101.13","98.76","326.39K","1.44%"
"28-01-2022","99.69","98.58","99.74","96.83","340.97K","0.88%"
"27-01-2022","98.82","101.59","102.45","98.31","367.92K","-1.94%"
"26-01-2022","100.77","103.29","103.60","99.68","310.92K","-1.80%"
"25-01-2022","102.62","100.91","103.55","99.71","326.71K","-0.29%"
