"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","20.84","20.74","21.09","20.66","4.84M","0.72%"
"24-03-2022","20.69","20.40","20.69","20.16","4.20M","2.12%"
"23-03-2022","20.26","20.38","20.47","20.21","5.65M","-1.41%"
"22-03-2022","20.55","20.29","20.71","20.24","8.79M","2.24%"
"21-03-2022","20.10","20.36","20.39","19.94","7.38M","-2.47%"
"18-03-2022","20.61","20.11","20.69","19.99","6.35M","1.48%"
"17-03-2022","20.31","19.96","20.32","19.74","8.08M","-0.20%"
"16-03-2022","20.35","19.73","20.39","19.70","12.82M","5.01%"
"15-03-2022","19.38","18.97","19.50","18.93","10.60M","5.84%"
"14-03-2022","18.31","18.40","18.82","18.02","16.94M","0.60%"
"11-03-2022","18.20","18.85","18.99","18.17","19.51M","-1.78%"
"10-03-2022","18.53","18.23","18.82","17.97","12.74M","-0.80%"
"09-03-2022","18.68","18.67","19.02","18.48","17.50M","5.48%"
"08-03-2022","17.71","17.25","18.45","16.91","21.70M","4.73%"
"07-03-2022","16.91","18.85","18.95","16.88","28.98M","-11.14%"
"04-03-2022","19.03","19.69","19.70","18.80","14.55M","-4.95%"
"03-03-2022","20.02","20.95","21.00","19.89","17.91M","-3.42%"
"02-03-2022","20.73","20.69","21.01","20.57","11.08M","1.67%"
"01-03-2022","20.39","21.16","21.24","20.14","13.44M","-5.07%"
"28-02-2022","21.48","21.40","21.72","21.05","14.13M","-2.19%"
"25-02-2022","21.96","21.78","22.20","21.56","13.63M","2.33%"
"24-02-2022","21.46","20.08","21.52","19.95","20.60M","0.28%"
"23-02-2022","21.40","22.31","22.39","21.36","8.87M","-3.21%"
"22-02-2022","22.11","22.22","22.61","21.92","7.75M","-1.99%"
"18-02-2022","22.56","22.80","23.07","22.50","7.36M","-1.18%"
"17-02-2022","22.83","23.20","23.25","22.65","7.52M","-2.56%"
"16-02-2022","23.43","23.23","23.71","23.21","8.65M","0.04%"
"15-02-2022","23.42","22.77","23.50","22.75","14.02M","5.73%"
"14-02-2022","22.15","22.26","22.80","22.00","12.32M","-0.09%"
"11-02-2022","22.17","23.10","23.39","21.93","24.52M","-3.98%"
"10-02-2022","23.09","22.75","23.50","22.69","8.97M","-0.04%"
"09-02-2022","23.10","22.70","23.33","22.69","15.76M","2.71%"
"08-02-2022","22.49","21.80","22.50","21.74","11.96M","4.12%"
"07-02-2022","21.60","21.34","21.85","21.32","12.10M","2.81%"
"04-02-2022","21.01","20.99","21.10","20.66","5.70M","-0.47%"
"03-02-2022","21.11","21.29","21.58","21.07","5.65M","-2.00%"
"02-02-2022","21.54","21.69","21.76","21.20","5.69M","-0.51%"
"01-02-2022","21.65","21.35","21.68","21.19","7.71M","2.03%"
"31-01-2022","21.22","20.38","21.25","20.21","7.76M","3.92%"
"28-01-2022","20.42","20.31","20.43","19.57","14.48M","0.20%"
"27-01-2022","20.38","20.81","21.28","20.26","13.16M","-1.45%"
"26-01-2022","20.68","21.13","21.37","20.47","10.94M","-0.67%"
"25-01-2022","20.82","20.40","20.97","20.20","12.40M","0.39%"
