"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","215.30","213.60","218.50","213.20","214.04K","1.56%"
"24-03-2022","212.00","212.50","214.30","210.10","160.18K","-0.19%"
"23-03-2022","212.40","215.90","216.60","211.90","145.98K","-1.26%"
"22-03-2022","215.10","213.10","217.80","212.40","198.88K","0.75%"
"21-03-2022","213.50","211.10","214.40","210.10","211.62K","1.33%"
"18-03-2022","210.70","212.30","213.50","209.30","414.15K","-1.27%"
"17-03-2022","213.40","213.90","214.80","209.20","220.79K","0.19%"
"16-03-2022","213.00","208.90","216.60","208.20","410.70K","4.05%"
"15-03-2022","204.70","201.10","206.30","199.55","310.23K","0.29%"
"14-03-2022","204.10","201.30","209.70","201.30","304.00K","3.42%"
"11-03-2022","197.35","195.90","204.60","195.55","336.93K","1.13%"
"10-03-2022","195.15","200.90","202.00","189.00","296.00K","-2.57%"
"09-03-2022","200.30","196.00","202.20","195.70","427.07K","4.87%"
"08-03-2022","191.00","188.55","199.65","187.65","391.91K","-0.62%"
"07-03-2022","192.20","186.95","197.95","179.50","568.72K","-0.10%"
"04-03-2022","192.40","199.00","199.40","189.10","336.98K","-4.47%"
"03-03-2022","201.40","210.70","211.80","201.10","306.32K","-4.64%"
"02-03-2022","211.20","199.35","213.50","194.40","471.06K","5.34%"
"01-03-2022","200.50","217.30","219.90","200.30","376.73K","-7.26%"
"28-02-2022","216.20","212.00","221.10","210.20","631.72K","3.10%"
"25-02-2022","209.70","197.35","210.40","196.75","456.76K","7.73%"
"24-02-2022","194.65","194.05","199.10","187.50","504.27K","-5.65%"
"23-02-2022","206.30","206.40","211.90","204.50","331.27K","-0.05%"
"22-02-2022","206.40","196.00","207.70","194.55","351.32K","1.67%"
"21-02-2022","203.00","210.80","211.40","202.60","298.89K","-2.40%"
"18-02-2022","208.00","207.80","211.20","207.10","279.82K","0.24%"
"17-02-2022","207.50","210.10","212.20","206.30","452.35K","-1.47%"
"16-02-2022","210.60","201.80","211.70","201.30","466.64K","4.99%"
"15-02-2022","200.60","193.05","201.40","192.10","369.29K","3.48%"
"14-02-2022","193.85","190.00","195.05","185.35","355.28K","-1.27%"
"11-02-2022","196.35","190.15","197.00","189.05","287.27K","1.95%"
"10-02-2022","192.60","190.45","193.30","189.35","177.38K","1.50%"
"09-02-2022","189.75","189.30","191.25","188.90","196.95K","0.90%"
"08-02-2022","188.05","185.85","189.00","185.60","214.06K","1.84%"
"07-02-2022","184.65","185.10","185.15","181.80","113.31K","0.52%"
"04-02-2022","183.70","187.35","188.50","181.50","155.24K","-1.37%"
"03-02-2022","186.25","188.90","189.90","186.10","126.19K","-1.43%"
"02-02-2022","188.95","194.60","195.70","188.45","165.35K","-2.23%"
"01-02-2022","193.25","188.85","193.25","188.40","216.63K","3.31%"
"31-01-2022","187.05","187.40","188.45","185.15","184.81K","0.84%"
"28-01-2022","185.50","190.45","190.50","183.25","171.90K","-2.93%"
"27-01-2022","191.10","190.30","194.85","189.90","145.84K","-1.57%"
"26-01-2022","194.15","189.95","196.65","189.10","214.75K","3.27%"
"25-01-2022","188.00","187.20","192.00","184.25","334.09K","1.57%"
