"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","79.60","79.66","80.00","79.30","210.10K","0.38%"
"24-03-2022","79.30","78.56","79.30","78.25","610.68K","1.43%"
"23-03-2022","78.18","78.43","78.70","78.14","259.36K","-0.55%"
"22-03-2022","78.61","78.12","78.85","77.79","205.78K","1.03%"
"21-03-2022","77.81","77.06","78.04","76.98","146.05K","0.97%"
"18-03-2022","77.06","76.70","77.10","76.29","149.42K","0.61%"
"17-03-2022","76.59","75.67","76.69","75.64","250.94K","1.39%"
"16-03-2022","75.54","76.27","76.60","74.21","350.87K","-0.74%"
"15-03-2022","76.10","75.11","76.21","74.94","323.21K","1.90%"
"14-03-2022","74.68","75.53","75.53","74.18","229.51K","-0.48%"
"11-03-2022","75.04","76.57","76.89","74.97","336.53K","-1.29%"
"10-03-2022","76.02","75.69","76.72","75.58","195.57K","-0.04%"
"09-03-2022","76.05","75.47","76.48","74.85","254.27K","1.67%"
"08-03-2022","74.80","76.77","76.77","74.78","562.70K","-2.45%"
"07-03-2022","76.68","77.83","78.75","76.65","2.35M","-1.10%"
"04-03-2022","77.53","77.08","77.58","76.26","239.75K","0.57%"
"03-03-2022","77.09","78.19","78.19","76.59","167.28K","-0.94%"
"02-03-2022","77.82","77.30","78.09","76.24","1.03M","1.09%"
"01-03-2022","76.98","77.29","77.58","76.24","1.48M","-0.35%"
"28-02-2022","77.25","75.01","77.29","74.65","1.03M","4.14%"
"25-02-2022","74.18","72.53","74.39","72.42","138.01K","2.90%"
"24-02-2022","72.09","69.82","72.18","68.77","272.60K","3.06%"
"23-02-2022","69.95","71.45","71.69","69.89","34.33K","-1.19%"
"22-02-2022","70.79","71.53","71.77","70.48","41.61K","-0.98%"
"18-02-2022","71.49","72.14","72.57","71.47","54.63K","-0.90%"
"17-02-2022","72.14","72.69","72.73","72.07","29.88K","-1.18%"
"16-02-2022","73.00","72.16","73.23","72.15","22.40K","1.05%"
"15-02-2022","72.24","71.88","72.45","71.37","34.89K","1.25%"
"14-02-2022","71.35","71.97","72.18","70.92","32.95K","-0.96%"
"11-02-2022","72.04","72.15","72.66","71.51","80.78K","0.11%"
"10-02-2022","71.96","71.99","73.25","71.69","20.30K","-1.10%"
"09-02-2022","72.76","72.28","72.89","72.28","18.57K","1.23%"
"08-02-2022","71.87","70.94","71.96","70.82","30.92K","1.27%"
"07-02-2022","70.97","70.55","71.52","70.53","54.65K","0.84%"
"04-02-2022","70.38","70.22","70.87","69.51","11.84K","-0.06%"
"03-02-2022","70.42","70.69","70.93","70.39","22.40K","-1.22%"
"02-02-2022","71.29","70.86","71.38","70.32","22.93K","0.68%"
"01-02-2022","70.81","70.35","70.91","69.71","39.24K","0.67%"
"31-01-2022","70.34","69.08","70.34","68.85","72.90K","1.24%"
"28-01-2022","69.48","68.88","69.52","67.67","37.62K","0.62%"
"27-01-2022","69.05","71.20","71.32","68.71","25.67K","-2.23%"
"26-01-2022","70.62","72.00","72.24","70.00","21.89K","-0.91%"
"25-01-2022","71.27","70.92","71.95","69.73","40.25K","-0.93%"
