"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","651.80","674.95","682.60","650.00","165.80K","-2.53%"
"24-03-2022","668.75","683.80","683.80","665.20","186.40K","-2.32%"
"23-03-2022","684.60","674.95","709.00","668.95","1.44M","6.95%"
"22-03-2022","640.10","654.60","657.40","635.50","151.22K","-1.76%"
"21-03-2022","651.60","655.95","664.85","640.90","176.93K","0.39%"
"17-03-2022","649.05","651.95","660.00","645.00","175.25K","0.75%"
"16-03-2022","644.25","640.00","666.00","640.00","158.85K","1.10%"
"15-03-2022","637.25","651.65","657.00","632.85","85.21K","-1.12%"
"14-03-2022","644.50","651.75","657.70","643.00","74.28K","-1.11%"
"11-03-2022","651.75","650.00","657.90","645.00","120.90K","1.42%"
"10-03-2022","642.65","655.00","656.60","641.00","124.63K","0.04%"
"09-03-2022","642.40","645.00","645.60","635.00","65.03K","1.72%"
"08-03-2022","631.55","620.00","648.00","618.05","108.31K","1.81%"
"07-03-2022","620.35","614.80","629.85","606.65","166.04K","-1.00%"
"04-03-2022","626.60","640.00","640.65","620.10","80.22K","-2.22%"
"03-03-2022","640.85","658.50","658.50","640.00","145.15K","-0.07%"
"02-03-2022","641.30","625.00","649.85","622.35","156.50K","1.41%"
"28-02-2022","632.40","605.00","642.00","591.10","190.23K","4.55%"
"25-02-2022","604.90","575.60","613.40","575.60","178.88K","6.95%"
"24-02-2022","565.60","590.00","603.40","560.70","277.47K","-8.55%"
"23-02-2022","618.45","615.00","627.95","615.00","64.66K","0.90%"
"22-02-2022","612.95","624.50","624.50","607.00","132.64K","-2.99%"
"21-02-2022","631.85","654.00","654.00","630.00","106.35K","-3.39%"
"18-02-2022","654.05","659.60","659.60","652.25","47.95K","-0.84%"
"17-02-2022","659.60","670.00","673.30","656.55","81.47K","-0.69%"
"16-02-2022","664.20","670.00","675.80","660.00","84.14K","0.08%"
"15-02-2022","663.65","655.00","669.05","650.45","104.60K","1.69%"
"14-02-2022","652.65","665.00","668.65","648.00","154.03K","-2.77%"
"11-02-2022","671.25","676.90","685.00","670.00","109.01K","-1.56%"
"10-02-2022","681.90","715.00","715.50","677.15","295.01K","-1.39%"
"09-02-2022","691.50","686.00","698.55","686.00","65.19K","1.66%"
"08-02-2022","680.20","692.00","699.10","673.05","109.61K","-1.44%"
"07-02-2022","690.15","704.00","704.70","686.60","83.32K","-0.69%"
"04-02-2022","694.95","702.00","705.75","693.05","91.20K","-1.08%"
"03-02-2022","702.55","715.00","717.00","701.70","113.81K","-1.29%"
"02-02-2022","711.70","711.90","723.90","706.05","188.12K","1.32%"
"01-02-2022","702.45","720.00","735.00","694.45","577.90K","-1.33%"
"31-01-2022","711.95","685.00","722.00","671.90","462.05K","6.75%"
"28-01-2022","666.95","672.00","680.75","665.00","138.52K","-0.75%"
"27-01-2022","672.00","680.00","680.00","662.00","148.49K","-1.08%"
"25-01-2022","679.35","650.00","684.50","640.00","221.61K","2.37%"
