"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","202.000","198.250","208.600","196.050","539.22K","3.09%"
"24-03-2022","195.950","180.800","199.500","179.950","613.33K","8.89%"
"23-03-2022","179.950","179.300","183.150","177.800","253.21K","1.04%"
"22-03-2022","178.100","189.000","190.500","174.300","574.39K","-3.70%"
"21-03-2022","184.950","173.400","187.000","172.500","639.83K","9.12%"
"18-03-2022","169.500","168.300","173.350","165.550","744.19K","3.99%"
"17-03-2022","163.000","154.950","166.050","151.100","568.70K","4.29%"
"16-03-2022","156.300","154.500","158.850","153.150","382.60K","1.13%"
"15-03-2022","154.550","149.550","155.750","149.250","264.77K","2.08%"
"14-03-2022","151.400","155.400","157.450","149.500","222.22K","-2.42%"
"11-03-2022","155.150","151.450","157.700","150.550","559.78K","2.11%"
"10-03-2022","151.950","142.000","152.250","142.000","488.74K","5.63%"
"09-03-2022","143.850","150.450","151.250","134.700","626.89K","-4.74%"
"08-03-2022","151.000","156.100","159.600","150.000","516.64K","-2.77%"
"07-03-2022","155.300","148.100","155.850","147.550","482.38K","4.44%"
"04-03-2022","148.700","146.800","154.450","145.700","571.23K","0.00%"
"03-03-2022","148.700","146.300","156.600","144.200","662.66K","-2.04%"
"02-03-2022","151.800","162.200","162.950","142.550","1.30M","-3.07%"
"01-03-2022","156.600","139.350","159.600","137.000","1.30M","17.22%"
"28-02-2022","133.600","160.000","160.000","129.200","1.98M","24.80%"
"25-02-2022","107.050","105.600","107.350","102.900","704.59K","7.00%"
"24-02-2022","100.050","97.820","102.250","96.000","710.06K","3.38%"
"23-02-2022","96.780","96.640","98.080","96.060","180.52K","0.92%"
"22-02-2022","95.900","92.380","96.540","91.880","256.80K","2.20%"
"21-02-2022","93.840","97.360","97.760","93.100","158.65K","-2.70%"
"18-02-2022","96.440","96.500","98.080","96.380","127.39K","-0.37%"
"17-02-2022","96.800","97.140","97.540","95.160","113.71K","-1.41%"
"16-02-2022","98.180","98.120","99.640","97.780","101.01K","0.25%"
"15-02-2022","97.940","95.840","97.940","95.740","199.14K","1.94%"
"14-02-2022","96.080","95.100","97.540","94.760","207.89K","-0.89%"
"11-02-2022","96.940","94.940","98.300","94.500","248.39K","0.96%"
"10-02-2022","96.020","95.280","96.900","95.280","162.09K","1.05%"
"09-02-2022","95.020","94.440","95.280","94.280","113.26K","1.19%"
"08-02-2022","93.900","91.600","94.100","91.520","132.33K","2.87%"
"07-02-2022","91.280","91.180","91.640","90.680","126.77K","0.84%"
"04-02-2022","90.520","93.340","93.600","90.320","126.80K","-2.25%"
"03-02-2022","92.600","92.260","93.560","92.120","104.57K","0.15%"
"02-02-2022","92.460","93.480","94.000","91.600","182.57K","-0.82%"
"01-02-2022","93.220","92.940","93.440","92.300","67.54K","1.22%"
"31-01-2022","92.100","94.040","94.060","91.820","132.30K","-1.01%"
"28-01-2022","93.040","92.740","94.200","92.560","180.38K","-0.02%"
"27-01-2022","93.060","90.620","94.240","90.480","107.65K","1.46%"
"26-01-2022","91.720","91.020","93.740","91.020","147.65K","1.60%"
"25-01-2022","90.280","91.220","91.220","88.600","141.83K","0.02%"
