"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","2,066.1","2,080.2","2,122.0","2,055.8","5.46M","-1.40%"
"24-03-2022","2,095.4","2,093.0","2,112.8","2,074.0","3.80M","3.74%"
"23-03-2022","2,019.9","2,014.5","2,090.0","2,013.0","5.90M","-0.44%"
"22-03-2022","2,028.9","2,043.0","2,047.5","2,000.0","3.79M","4.37%"
"21-03-2022","1,943.9","1,957.8","2,027.5","1,943.9","5.01M","-0.44%"
"18-03-2022","1,952.5","1,958.2","1,960.2","1,917.8","6.44M","0.82%"
"17-03-2022","1,936.7","1,909.0","1,965.4","1,898.4","8.28M","2.07%"
"16-03-2022","1,897.4","1,951.4","1,965.6","1,897.0","5.26M","0.55%"
"15-03-2022","1,887.0","1,887.9","1,940.6","1,871.8","5.95M","-2.48%"
"14-03-2022","1,934.9","1,957.8","1,957.8","1,910.8","5.27M","-2.34%"
"11-03-2022","1,981.3","1,983.0","2,044.0","1,940.8","4.94M","0.37%"
"10-03-2022","1,973.9","1,984.2","2,011.2","1,948.4","4.80M","-1.80%"
"09-03-2022","2,010.1","2,059.0","2,068.5","1,979.2","5.84M","-0.18%"
"08-03-2022","2,013.7","1,979.2","2,052.5","1,950.6","9.45M","4.43%"
"07-03-2022","1,928.2","1,862.2","1,999.0","1,862.2","8.73M","3.31%"
"04-03-2022","1,866.5","1,923.0","1,923.8","1,833.4","6.17M","-5.87%"
"03-03-2022","1,983.0","2,053.0","2,079.0","1,933.8","8.67M","-3.57%"
"02-03-2022","2,056.4","1,971.9","2,064.0","1,969.0","7.53M","5.01%"
"01-03-2022","1,958.2","1,946.8","1,986.4","1,927.6","8.42M","-0.59%"
"28-02-2022","1,969.9","2,015.0","2,016.0","1,925.6","6.24M","-1.09%"
"25-02-2022","1,991.7","1,931.0","2,012.5","1,930.9","6.09M","0.28%"
"24-02-2022","1,986.1","1,939.5","2,031.0","1,907.0","9.05M","2.16%"
"23-02-2022","1,944.2","1,947.6","1,962.8","1,928.6","7.52M","-0.02%"
"22-02-2022","1,944.5","1,945.4","1,999.4","1,944.5","6.64M","0.15%"
"21-02-2022","1,941.5","1,955.2","1,971.2","1,932.6","2.65M","-0.96%"
"18-02-2022","1,960.4","1,971.1","1,993.8","1,948.6","4.39M","1.60%"
"17-02-2022","1,929.5","1,997.0","2,008.0","1,929.5","3.29M","-4.12%"
"16-02-2022","2,012.5","1,990.3","2,026.5","1,984.8","3.06M","1.46%"
"15-02-2022","1,983.5","1,996.4","2,012.0","1,949.8","4.91M","-1.72%"
"14-02-2022","2,018.2","2,031.0","2,043.0","1,988.4","4.22M","0.31%"
"11-02-2022","2,011.9","1,996.0","2,049.0","1,995.4","2.78M","0.30%"
"10-02-2022","2,005.9","2,006.0","2,040.5","1,995.2","3.39M","-1.00%"
"09-02-2022","2,026.1","2,001.0","2,039.0","1,976.8","4.30M","-2.07%"
"08-02-2022","2,069.0","2,051.0","2,080.0","1,993.6","6.05M","1.27%"
"07-02-2022","2,043.1","2,063.5","2,075.0","2,027.7","4.68M","0.96%"
"04-02-2022","2,023.7","2,000.0","2,040.8","1,995.8","5.25M","3.72%"
"03-02-2022","1,951.1","1,962.7","1,973.2","1,934.4","4.87M","0.91%"
"02-02-2022","1,933.6","1,947.6","1,957.2","1,921.0","4.51M","1.52%"
"01-02-2022","1,904.7","1,903.0","1,941.8","1,898.6","3.02M","0.77%"
"31-01-2022","1,890.1","1,914.0","1,915.2","1,874.8","1.33M","0.46%"
"28-01-2022","1,881.4","1,915.6","1,917.2","1,877.4","2.95M","-2.22%"
"27-01-2022","1,924.1","1,882.6","1,945.0","1,880.2","2.44M","1.52%"
"26-01-2022","1,895.3","1,837.3","1,912.2","1,810.8","2.82M","5.38%"
"25-01-2022","1,798.5","1,767.8","1,811.2","1,751.0","1.88M","1.28%"
