"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","32.63","32.19","32.70","31.86","125.56K","1.27%"
"24-03-2022","32.22","32.45","32.70","32.22","145.97K","-0.05%"
"23-03-2022","32.23","31.74","32.37","31.74","196.80K","1.85%"
"22-03-2022","31.65","31.90","31.94","31.53","170.44K","0.14%"
"21-03-2022","31.60","30.92","31.70","30.88","92.77K","2.68%"
"18-03-2022","30.77","30.92","30.92","30.39","121.93K","-0.57%"
"17-03-2022","30.95","30.38","30.95","30.38","297.14K","2.06%"
"16-03-2022","30.33","30.77","30.77","30.08","174.30K","-0.51%"
"15-03-2022","30.48","29.89","30.48","29.53","133.90K","0.28%"
"14-03-2022","30.40","30.67","30.85","30.28","97.44K","-1.57%"
"11-03-2022","30.88","31.23","31.48","30.78","67.68K","0.13%"
"10-03-2022","30.84","31.04","31.53","30.75","343.47K","-2.05%"
"09-03-2022","31.49","32.44","32.50","31.09","352.34K","-2.04%"
"08-03-2022","32.14","31.14","32.39","30.99","198.92K","3.61%"
"07-03-2022","31.02","30.68","31.33","30.32","207.36K","4.46%"
"04-03-2022","29.69","30.55","30.55","29.69","838.50K","-3.40%"
"03-03-2022","30.74","32.61","32.66","30.74","272.85K","-3.74%"
"02-03-2022","31.93","31.00","32.16","31.00","443.78K","3.90%"
"01-03-2022","30.74","30.95","31.20","30.44","287.58K","-0.55%"
"28-02-2022","30.91","30.51","31.00","30.14","143.83K","-0.13%"
"25-02-2022","30.94","30.38","31.05","30.38","231.77K","1.98%"
"24-02-2022","30.34","30.32","30.97","29.72","248.72K","-0.31%"
"23-02-2022","30.44","30.76","30.88","30.36","156.93K","-0.69%"
"22-02-2022","30.65","30.63","31.20","30.59","140.20K","-0.02%"
"21-02-2022","30.66","30.82","31.05","30.41","149.22K","-0.66%"
"18-02-2022","30.86","31.35","31.40","30.76","128.41K","-0.98%"
"17-02-2022","31.17","31.48","31.53","30.94","121.19K","-1.09%"
"16-02-2022","31.51","31.13","31.54","30.98","232.52K","1.43%"
"15-02-2022","31.07","31.31","31.43","30.57","288.65K","-0.61%"
"14-02-2022","31.25","31.75","31.80","31.03","317.41K","-1.61%"
"11-02-2022","31.76","31.28","31.94","31.23","76.80K","1.08%"
"10-02-2022","31.42","31.47","31.60","31.13","74.26K","-0.25%"
"09-02-2022","31.50","31.01","31.65","30.91","110.90K","1.91%"
"08-02-2022","30.92","31.66","31.80","30.87","98.06K","-1.75%"
"07-02-2022","31.47","31.30","31.52","31.03","171.52K","0.33%"
"04-02-2022","31.36","31.03","31.48","31.00","217.38K","2.22%"
"03-02-2022","30.68","31.07","31.07","30.51","84.65K","-0.58%"
"02-02-2022","30.86","31.17","31.17","30.81","103.55K","-0.92%"
"01-02-2022","31.15","30.82","31.15","30.57","212.47K","1.95%"
"31-01-2022","30.55","31.11","31.11","30.47","50.97K","-0.71%"
"28-01-2022","30.77","31.09","31.11","30.44","36.79K","-1.44%"
"27-01-2022","31.22","30.51","31.51","30.51","70.35K","0.87%"
"26-01-2022","30.95","30.23","31.05","30.19","267.60K","4.00%"
"25-01-2022","29.76","29.28","29.81","29.13","168.30K","2.64%"
