"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","120.30","118.35","120.55","118.10","516.65K","1.95%"
"24-03-2022","118.00","116.00","119.95","115.90","810.54K","1.72%"
"23-03-2022","116.00","115.40","117.55","115.25","723.60K","0.30%"
"22-03-2022","115.65","116.00","116.00","114.15","492.75K","0.52%"
"21-03-2022","115.05","112.60","116.00","112.30","712.88K","2.45%"
"18-03-2022","112.30","111.80","113.05","110.75","1.85M","0.27%"
"17-03-2022","112.00","110.05","113.10","108.90","866.87K","1.68%"
"16-03-2022","110.15","111.25","113.85","109.10","1.28M","-1.17%"
"15-03-2022","111.45","108.95","111.70","107.50","591.41K","1.64%"
"14-03-2022","109.65","112.00","113.70","108.65","725.31K","-2.14%"
"11-03-2022","112.05","112.45","115.15","110.40","787.82K","0.18%"
"10-03-2022","111.85","111.00","113.20","108.90","884.90K","0.95%"
"09-03-2022","110.80","116.80","118.70","109.25","1.37M","-4.24%"
"08-03-2022","115.70","115.75","119.95","114.70","1.58M","0.78%"
"07-03-2022","114.80","108.00","116.35","107.55","1.61M","6.64%"
"04-03-2022","107.65","107.90","109.60","105.85","1.28M","0.80%"
"03-03-2022","106.80","106.00","110.25","105.85","1.29M","3.79%"
"02-03-2022","102.90","109.60","109.85","99.10","1.50M","-4.90%"
"01-03-2022","108.20","104.80","111.20","103.90","1.66M","5.15%"
"28-02-2022","102.90","103.10","106.60","100.65","2.09M","11.87%"
"25-02-2022","91.98","89.54","93.30","89.26","1.14M","4.10%"
"24-02-2022","88.36","82.26","89.00","81.76","1.26M","4.87%"
"23-02-2022","84.26","83.38","84.62","83.34","343.30K","0.93%"
"22-02-2022","83.48","81.98","83.96","81.66","275.58K","0.48%"
"21-02-2022","83.08","85.06","85.64","82.78","257.13K","-1.61%"
"18-02-2022","84.44","84.50","85.58","83.98","539.92K","0.09%"
"17-02-2022","84.36","84.50","85.00","83.66","345.51K","-0.24%"
"16-02-2022","84.56","85.60","86.40","84.42","428.91K","0.38%"
"15-02-2022","84.24","82.66","84.30","82.28","275.13K","1.42%"
"14-02-2022","83.06","83.30","84.32","82.20","445.79K","-1.28%"
"11-02-2022","84.14","83.40","84.64","83.16","374.40K","0.21%"
"10-02-2022","83.96","83.52","84.30","83.18","302.61K","2.39%"
"09-02-2022","82.00","81.00","82.00","80.56","213.91K","1.71%"
"08-02-2022","80.62","79.36","80.88","79.10","269.20K","1.74%"
"07-02-2022","79.24","79.00","79.56","77.86","270.42K","1.02%"
"04-02-2022","78.44","80.26","80.42","77.56","321.84K","-1.95%"
"03-02-2022","80.00","81.08","81.72","80.00","282.91K","-0.35%"
"02-02-2022","80.28","83.06","83.26","78.62","675.75K","-3.09%"
"01-02-2022","82.84","81.78","82.86","81.52","295.70K","1.72%"
"31-01-2022","81.44","82.26","82.50","80.66","243.09K","-0.20%"
"28-01-2022","81.60","82.40","82.50","80.90","305.55K","-0.95%"
"27-01-2022","82.38","82.00","83.44","81.76","280.82K","-0.56%"
"26-01-2022","82.84","81.76","84.12","81.76","410.69K","1.94%"
"25-01-2022","81.26","80.94","81.82","80.24","477.01K","1.04%"
