"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","96.5000","102.2500","106.9350","94.5990","","1.85%"
"24-03-2022","94.7500","97.5000","105.7500","92.4500","","6.16%"
"23-03-2022","89.2500","105.0500","109.5000","92.4750","","-9.44%"
"22-03-2022","98.5500","104.0500","112.1750","100.5000","","-0.61%"
"21-03-2022","99.1500","101.1000","115.7550","98.8015","","0.15%"
"18-03-2022","99.0000","104.0000","113.1250","97.8125","","3.94%"
"17-03-2022","95.2500","96.5000","109.3125","94.3750","","5.25%"
"16-03-2022","90.5000","105.5000","117.0000","96.0000","","-8.59%"
"15-03-2022","99.0000","120.0000","123.0000","100.8750","","-13.54%"
"14-03-2022","114.5000","132.5500","134.1613","109.9640","","-9.49%"
"11-03-2022","126.5000","132.0000","137.0000","112.8500","","0.40%"
"10-03-2022","126.0000","135.5000","140.2500","115.5130","","-3.08%"
"09-03-2022","130.0000","130.0000","139.2500","115.5485","","8.33%"
"08-03-2022","120.0000","129.5000","141.5000","121.0000","","-11.44%"
"07-03-2022","135.5000","120.0000","158.3000","125.5000","","11.95%"
"04-03-2022","121.0370","109.7500","128.0165","99.9200","","11.66%"
"03-03-2022","108.3950","102.7500","118.6885","96.5175","","11.06%"
"02-03-2022","97.6000","108.5000","115.5500","95.4750","","-7.09%"
"01-03-2022","105.0430","102.2500","118.5235","89.3985","","3.96%"
"28-02-2022","101.0400","107.6462","115.4163","92.9310","","20.43%"
"25-02-2022","83.8963","84.4255","86.6723","81.2302","","-0.18%"
"24-02-2022","84.0475","81.1600","90.1896","80.5225","","3.57%"
"23-02-2022","81.1480","78.8300","81.8605","78.5456","","3.24%"
"22-02-2022","78.5987","80.1485","80.9408","78.4972","","-1.77%"
"21-02-2022","80.0170","77.9465","80.3438","76.1359","","3.70%"
"18-02-2022","77.1640","76.1636","77.5245","75.6335","","1.45%"
"17-02-2022","76.0593","75.1800","76.7333","74.9427","","1.44%"
"16-02-2022","74.9780","75.5065","75.6192","74.8392","","-0.28%"
"15-02-2022","75.1850","76.4905","76.8358","75.1183","","-1.35%"
"14-02-2022","76.2131","77.4355","78.1715","75.9775","","-1.12%"
"11-02-2022","77.0753","74.9540","77.6523","74.7980","","2.90%"
"10-02-2022","74.9050","74.6926","75.2031","74.2600","","0.35%"
"09-02-2022","74.6447","75.0450","75.2802","74.4767","","-0.43%"
"08-02-2022","74.9695","75.3119","75.7678","74.9599","","-0.41%"
"07-02-2022","75.2760","76.0285","76.1891","75.3161","","-0.41%"
"04-02-2022","75.5836","76.4545","76.6050","75.6214","","-0.47%"
"03-02-2022","75.9442","76.0705","76.8193","75.9719","","-0.10%"
"02-02-2022","76.0230","76.9060","76.9312","75.6875","","-0.91%"
"01-02-2022","76.7250","77.3320","77.7611","76.3868","","-0.68%"
"31-01-2022","77.2480","77.9060","78.1035","77.1102","","-1.06%"
"28-01-2022","78.0765","77.9879","78.4825","77.3880","","0.27%"
"27-01-2022","77.8693","79.1650","79.7598","77.3736","","-1.49%"
"26-01-2022","79.0468","78.7160","80.3835","78.4902","","0.69%"
"25-01-2022","78.5027","78.6505","79.3450","78.2396","","-0.08%"
