"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","29.5000","29.4000","29.5250","29.4000","0.00K","0.85%"
"24-03-2022","29.2500","29.5250","29.5250","29.4000","0.00K","0.00%"
"23-03-2022","29.2500","29.4000","29.4000","29.4000","","0.00%"
"22-03-2022","29.2500","29.6087","29.6087","29.4000","0.00K","0.00%"
"21-03-2022","29.2500","29.6087","29.6087","29.3900","0.01K","0.00%"
"18-03-2022","29.2500","29.4000","29.4000","29.4000","0.00K","-1.01%"
"17-03-2022","29.5474","29.4000","29.6087","29.4000","0.00K","1.00%"
"16-03-2022","29.2549","29.4000","29.6087","29.4000","0.00K","-0.99%"
"15-03-2022","29.5474","29.4000","29.6125","29.4000","0.00K","1.02%"
"14-03-2022","29.2500","30.0500","30.0500","29.4000","0.00K","0.00%"
"10-03-2022","29.2500","29.4000","29.4000","29.4000","0.00K","-2.66%"
"25-02-2022","30.0500","30.0500","30.0500","30.0500","","0.87%"
"23-02-2022","29.7914","29.0650","29.9055","29.0475","1.56K","2.52%"
"22-02-2022","29.0597","28.9400","29.1353","28.9079","1.94K","1.36%"
"21-02-2022","28.6690","28.4100","28.7100","28.3946","2.01K","0.94%"
"18-02-2022","28.4014","28.3900","28.4454","28.3002","1.86K","0.39%"
"17-02-2022","28.2915","28.2350","28.4404","27.9700","1.88K","0.69%"
"16-02-2022","28.0990","28.1925","28.2076","28.0502","1.81K","-0.33%"
"15-02-2022","28.1919","28.5100","28.5480","28.1505","1.72K","-0.95%"
"14-02-2022","28.4613","28.5250","28.7750","28.4296","2.36K","1.50%"
"11-02-2022","28.0414","27.9950","28.0905","27.9251","1.82K","0.47%"
"10-02-2022","27.9098","27.9146","28.0254","27.8240","1.94K","0.07%"
"09-02-2022","27.8916","28.0000","28.0271","27.9130","1.84K","-0.25%"
"08-02-2022","27.9617","27.9300","28.0329","27.9018","1.89K","0.25%"
"07-02-2022","27.8915","28.0900","28.2750","27.9179","1.76K","-0.79%"
"04-02-2022","28.1140","28.2651","28.2740","28.0770","1.95K","-0.31%"
"03-02-2022","28.2016","28.3000","28.3199","28.2208","1.86K","-0.34%"
"02-02-2022","28.2992","28.4250","28.4620","28.2703","1.44K","-0.44%"
"01-02-2022","28.4240","28.3350","28.4678","28.2530","1.86K","0.32%"
"31-01-2022","28.3345","28.5800","28.6050","28.3577","1.61K","-1.25%"
"28-01-2022","28.6918","28.8899","28.9245","28.6180","1.76K","-0.62%"
"27-01-2022","28.8695","28.8500","29.0471","28.8496","2.61K","0.10%"
"26-01-2022","28.8397","28.7332","28.8729","28.6999","2.12K","0.60%"
"25-01-2022","28.6690","28.6750","28.7782","28.5921","2.67K","0.06%"
