"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","78.75","76.60","78.85","76.54","28.05M","2.19%"
"24-03-2022","77.06","77.16","77.82","76.54","26.29M","0.25%"
"23-03-2022","76.87","76.99","77.58","76.62","29.33M","1.72%"
"22-03-2022","75.57","75.81","76.23","74.71","30.86M","-0.74%"
"21-03-2022","76.13","74.66","76.37","74.62","34.36M","3.05%"
"18-03-2022","73.88","73.82","74.38","73.32","29.28M","-0.09%"
"17-03-2022","73.95","72.76","74.14","72.31","38.18M","3.44%"
"16-03-2022","71.49","72.09","72.72","70.74","53.77M","-0.46%"
"15-03-2022","71.82","71.66","72.65","70.44","62.26M","-3.66%"
"14-03-2022","74.55","75.21","75.74","73.55","50.75M","-2.99%"
"11-03-2022","76.85","76.23","77.81","76.11","45.92M","-0.80%"
"10-03-2022","77.47","76.06","77.67","75.52","68.79M","3.06%"
"09-03-2022","75.17","74.70","76.94","73.50","86.78M","-3.06%"
"08-03-2022","77.54","78.08","80.22","75.33","97.69M","1.57%"
"07-03-2022","76.34","76.01","77.56","74.64","65.44M","1.48%"
"04-03-2022","75.23","73.11","75.27","72.92","52.63M","2.89%"
"03-03-2022","73.12","72.21","73.62","72.06","44.43M","0.27%"
"02-03-2022","72.92","72.38","73.50","72.03","45.38M","2.29%"
"01-03-2022","71.29","71.21","72.49","70.29","61.57M","1.01%"
"28-02-2022","70.58","68.39","70.66","68.01","46.84M","2.47%"
"25-02-2022","68.88","67.26","68.95","67.26","39.21M","2.64%"
"24-02-2022","67.11","69.08","69.16","65.36","61.65M","-0.78%"
"23-02-2022","67.64","67.34","68.16","66.95","33.49M","1.03%"
"22-02-2022","66.95","70.11","70.11","65.94","45.76M","-1.62%"
"18-02-2022","68.05","67.50","68.59","67.39","31.65M","-0.61%"
"17-02-2022","68.47","68.52","69.18","67.94","33.80M","-0.16%"
"16-02-2022","68.58","68.57","69.77","68.16","36.47M","0.81%"
"15-02-2022","68.03","67.06","68.19","66.68","42.93M","-1.05%"
"14-02-2022","68.75","69.98","70.06","67.93","49.76M","-2.36%"
"11-02-2022","70.41","68.88","70.50","68.45","46.52M","2.91%"
"10-02-2022","68.42","68.51","69.74","67.97","37.29M","-0.62%"
"09-02-2022","68.85","68.44","69.38","68.27","35.24M","0.83%"
"08-02-2022","68.28","69.57","69.71","67.80","37.88M","-2.15%"
"07-02-2022","69.78","68.57","70.43","68.05","32.47M","1.28%"
"04-02-2022","68.90","68.70","70.00","68.54","40.87M","1.56%"
"03-02-2022","67.84","68.21","68.35","67.10","30.85M","-0.95%"
"02-02-2022","68.49","67.92","68.62","67.08","32.51M","0.32%"
"01-02-2022","68.27","65.53","68.43","65.38","43.94M","3.56%"
"31-01-2022","65.92","65.48","66.34","64.44","31.47M","0.44%"
"28-01-2022","65.63","65.47","66.27","64.26","52.65M","-0.42%"
"27-01-2022","65.91","66.35","67.06","64.82","54.28M","1.09%"
"26-01-2022","65.20","66.00","66.53","64.49","65.29M","-0.17%"
"25-01-2022","65.31","62.63","65.55","61.47","59.07M","3.88%"
